name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Effebi Informatica,IT,IT & Software,,,,,,,overpass
Pentasoft S.R.L.,IT,IT & Software,https://www.pentasoft.it,+39 0771 532923,,,,,overpass
Regola S.r.l.,IT,IT & Software,https://www.regola.it,+39 011 5187029,"Corso Filippo Turati, 15h, 10128, Torino",Torino,,,overpass
Infordata Sistemi,IT,IT & Software,https://infordata.it,+39 040 367189,"Strada per Vienna, 55/1, 34151, Trieste",Trieste,,,overpass
Pharmagest Italia,IT,IT & Software,,,,,,,overpass
RTS Sistemi Informativi,IT,IT & Software,https://www.rtsystem.com,,,,,,overpass
Systems GmbH,IT,IT & Software,,,"Sankt Lorenzner Straße - Via San Lorenzo, 34c, 39031, Bruneck - Brunico",Bruneck - Brunico,,,overpass
Amelya,IT,IT & Software,http://www.amelya.com,,,,,,overpass
Intecs S.P.A.,IT,IT & Software,,,"Via Egidio Giannessi, 5, 56121",,,,overpass
Sem Automazione,IT,IT & Software,https://www.semgroup.it/contatti,+39 0871 551 220,"Via Marvin Gelber, 44m, 66100, Chieti",Chieti,,,overpass
Dogma Solutions,IT,IT & Software,,,"Via Nicoletti, 68",,,,overpass
Italdata,IT,IT & Software,,,,,,,overpass
Facile di Premarini Fabio,IT,IT & Software,https://www.premarini.com,+39 3470464456,"Via Garibaldi, 4, 24050, Spirano",Spirano,,,overpass
Performer,IT,IT & Software,https://performer.it,,"Via della Liberazione, 6, 40128, Bologna",Bologna,,,overpass
SIT - Studio Informatico Toscano,IT,IT & Software,,,,,,,overpass
Microsoft,IT,IT & Software,,,"Viale Avignone, 10, 00144, Roma",Roma,,,overpass
Soasi soc.coop.,IT,IT & Software,,,,,,,overpass
Webrain,IT,IT & Software,,,,,https://www.linkedin.com/company/webrain/,,overpass
Mobile App,IT,IT & Software,,,"Largo Lucio Giunio Columella, 19a, 00040",,,,overpass
Softec,IT,IT & Software,,,"Via Mino da Fiesole, 59100, Prato",Prato,,,overpass
GeneSYS Informatica srl,IT,IT & Software,,,,,,,overpass
