name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Dźwigar,PL,Construction,,,,,,,overpass
Korporacja Budowlana Budmax,PL,Construction,http://budmax.info,,,,https://www.linkedin.com/company/budmax/,,overpass
Remonty Szczecin,PL,Construction,https://baltic-development.pl,+48 514157327,,,,,overpass
"JanDach: budowa i sprzedaż domów, usługi ogólnobudowlane",PL,Construction,https://jandach.pl,+48 61 867 75 85,"Skryta, 21, 62-064, Plewiska",Plewiska,,,overpass
Comtec3D,PL,Construction,http://www.comtec3d.pl,,"Kopijników, 75a, 03-274, Warszawa",Warszawa,,,overpass
Convel,PL,Construction,http://convel.pl,,"Kopijników, 75a, 03-274, Warszawa",Warszawa,,,overpass
Green Light,PL,Construction,http://www.greenlight.waw.pl,,,,,,overpass
Geotech,PL,Construction,https://www.geotech.rzeszow.pl,+48 17 230 20 23,"Budziwojska, 79",,,,overpass
GSBK Biuro Konstrukcyjne,PL,Construction,https://gsbk.pl,,,,,,overpass
BUD-FRYZ,PL,Construction,http://bud-fryz.eslask.pl,+48 32 245 31 45;+48 606 856 105,,,,,overpass
Robotech Studio Projektów,PL,Construction,https://www.robotech.pl,,"Marszałka Józefa Piłsudskiego, 5, 63-900, Rawicz",Rawicz,,,overpass
Budoteka,PL,Construction,https://www.budoteka.tech,+48 604 206 084,,,,,overpass
Ooptyk,PL,Construction,,+48 733 463 493,"Wolności, 23, 41-700, Ruda Śląska",Ruda Śląska,,,overpass
Centrum Zana,PL,Construction,,,"Nałęczowska, 14, 20-701, Lublin",Lublin,,,overpass
GDL Developer,PL,Construction,,,"Nałęczowska, 30, 20-701, Lublin",Lublin,,,overpass
Sigma Budownictwo,PL,Construction,https://www.sigmabudownictwo.pl,+48 58 672 30 21,"Przemysłowa, 25B, 84-200, Wejherowo",Wejherowo,,,overpass
Sufity napinane Warszawa DEKO - DPS,PL,Construction,https://www.dekodps.pl,+48 22 610 41 93,"Jana Styki, 6/1, 03-928, Warszawa",Warszawa,,,overpass
Rensolid,PL,Construction,https://rensolid.com,,"Tadeusza Romanowicza, 19, 30-702, Kraków",Kraków,,,overpass
AGMak,PL,Construction,https://www.agmak.pl;www.osuszacze-lublin.pl,+48 66 256 69 96;+48 57 706 69 97,"Księdza Ludwika Zalewskiego, 7, 20-492, Lublin",Lublin,,,overpass
Unibruk,PL,Construction,https://www.unibruk.com.pl,+48503133406,"Wyzwolenia, 26, 44-200, Rybnik",Rybnik,,,overpass
EBZ Design Engineering,PL,Construction,https://www.ebz-group.com/ebz-gruppe/ebz-weltweit/katowice,,,,,,overpass
Hunger-Bud,PL,Construction,https://hunger-bud.pl,+48 32 204 10 03;+48 690 890 684,,,,,overpass
artbudinż,PL,Construction,http://artbudinz.pl,+48 695 505 125,,,,,overpass
Remontuj z głową - usługi remontowo - budowlane,PL,Construction,,+48 781 760 105;+48 696 364 568,,,,,overpass
ProPoint Services Sp. z o.o.,PL,Construction,https://www.propoint.pl,+48 32 270 60 50;+48 32 700 32 88,"Bojkowska, 37S, 44-100, Gliwice",Gliwice,,,overpass
Techplus Polska,PL,Construction,http://techpluspolska.com,,,,https://www.linkedin.com/company/techplus/,,overpass
MIKON,PL,Construction,https://mikon.net.pl,+48 501 149 265,"Skowronkowa, 23, 62-081, Przeźmierowo",Przeźmierowo,,,overpass
