name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Knooppunt intermedia,NL,IT & Software,http://www.knoop.frl,,"Burgemeester Falkenaweg, 54, 8442LE, Heerenveen",Heerenveen,,,overpass
Ximedes,NL,IT & Software,https://www.ximedes.com,,"Lichtfabriekplein, 1, 2031TE, Haarlem",Haarlem,,,overpass
ICT Automatisering,NL,IT & Software,https://ict.eu,+31 50 800 7200,"Rozenburglaan, 1, 9727DL, Groningen",Groningen,https://www.linkedin.com/company/ict/,,overpass
iidesk.com,NL,IT & Software,,,"Koornmarkt, 34, 2611EH, Delft",Delft,,,overpass
Booking.com,NL,IT & Software,https://www.booking.com,,"Herengracht, 597, 1017CE, Amsterdam",Amsterdam,,,overpass
Zafrira,NL,IT & Software,,,"Fabrieksweg, 32A, 5683PP, Best",Best,,,overpass
Xebia,NL,IT & Software,https://www.xebia.com,+31 35 538 1921,"Laapersveld, 27, 1213VB, Hilversum",Hilversum,,,overpass
Neacon,NL,IT & Software,,,,,https://www.linkedin.com/company/neacon/,,overpass
Kembit,NL,IT & Software,https://www.kembit.nl,,,,,,overpass
Info Support,NL,IT & Software,https://www.infosupport.com,+31 318 552 020,"Kruisboog, 42, 3905TG, Veenendaal",Veenendaal,,,overpass
Duidluck,NL,IT & Software,https://www.duidluck.nl,,"Loggerweg, 4, 8042PG, Zwolle",Zwolle,,,overpass
Hulst,NL,IT & Software,https://www.hulst.nl,,"Katwolderweg, 17, 8041AC, Zwolle",Zwolle,,,overpass
Seven Stars,NL,IT & Software,https://sevenstars.nl,,"Emmastraat, 4, 8011AG, Zwolle",Zwolle,,,overpass
Orisha Commerce,NL,IT & Software,https://commerce.orisha.com,+31 88 303 5700,"Punterweg, 2, 8042PB, Zwolle",Zwolle,,,overpass
Future Insight,NL,IT & Software,https://futureinsight.nl,+31 6 45422459,"Grote Voort, 207G, 8041BK, Zwolle",Zwolle,,,overpass
Intercept,NL,IT & Software,https://intercept.cloud,,"Grote Voort, 221, 8041BK, Zwolle",Zwolle,,,overpass
Teqram,NL,IT & Software,https://teqram.com,,"Schoenerweg, 4, 8042PJ, Zwolle",Zwolle,,,overpass
NewHeap,NL,IT & Software,https://newheap.com,,"Eekwal, 1, 8011LA, Zwolle",Zwolle,,,overpass
De Websmid,NL,IT & Software,https://www.dewebsmid.nl,,"Assiesplein, 10, 8011XD, Zwolle",Zwolle,https://www.linkedin.com/company/de-websmid/,,overpass
Metricks,NL,IT & Software,https://metricks.nl,,"Eekwal, 14, 8011LD, Zwolle",Zwolle,,,overpass
e-Active,NL,IT & Software,https://www.e-active.nl,,"Eekwal, 4, 8011LD, Zwolle",Zwolle,https://www.linkedin.com/company/e-active/,,overpass
HumanByte,NL,IT & Software,https://humanbyte.nl,+31 6 13125679,"Verwoldsebeek, 8, 8033DB, Zwolle",Zwolle,,,overpass
Fadiro,NL,IT & Software,https://www.fadiro.nl,,"Rijnlaan, 4, 8032BA, Zwolle",Zwolle,,,overpass
RYSST Zwolle,NL,IT & Software,https://www.rysst.nl,+31 85 303 6100,"Dokter Spanjaardweg, 19, 8025BT, Zwolle",Zwolle,,,overpass
Masters of Media,NL,IT & Software,https://mastersofmedia.nl,+31 38 2222 011,"Rieteweg, 17, 8041AJ, Zwolle",Zwolle,,,overpass
Guapa,NL,IT & Software,https://www.guapa.nl,,"Burgemeester Roelenweg, 21, 8031ES, Zwolle",Zwolle,,,overpass
Time2Impress,NL,IT & Software,https://t2i.nl,,"Boerendanserdijk, 41, 8024AE, Zwolle",Zwolle,https://www.linkedin.com/company/t2i/,,overpass
