name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Tecnorete,IT,Real Estate,,,,,,,overpass
Fondocasa Lorenteggio,IT,Real Estate,,,"Via Lorenteggio, 55, 20146, Milano",Milano,,,overpass
Milanino Agency,IT,Real Estate,https://www.milaninoagency.com,+39 02 23057727,"Viale Cooperazione, 20, Cusano Milanino",Cusano Milanino,,,overpass
Capannone Arancione,IT,Real Estate,https://www.capannonearancione.com,,"Via Giuseppe Zucchi, 7, 20095, Cusano Milanino",Cusano Milanino,https://www.linkedin.com/company/capannone-arancione/,,overpass
Dolomiti,IT,Real Estate,,,,,,,overpass
RexerMilano Primaticcio,IT,Real Estate,https://rexer.it,,"Via Francesco Primaticcio, 96, 20147, Milano",Milano,,,overpass
immobiliare Peschiera,IT,Real Estate,,,,,,,overpass
Professionecasa,IT,Real Estate,,,,,,,overpass
Professione Casa,IT,Real Estate,https://www.professionecasa.it/agenzia/pescara-1,+39 085 2038260,"Via del Santuario, 135, 65125, Pescara",Pescara,,,overpass
Immobiliare Zeni,IT,Real Estate,,,"Via Azzolini, 5, 38068, Rovereto",Rovereto,,,overpass
Vincenzo Paoletti Immobiliare,IT,Real Estate,,,"Via del Trivio, 35, 63100, Ascoli Piceno",Ascoli Piceno,,,overpass
Studio Casa,IT,Real Estate,,,,,https://www.linkedin.com/company/studio-ca/,,overpass
Immobiliare Pianeta Casa Sinergy,IT,Real Estate,,,"Via Giordano Bruno, 83, 60127, Ancona",Ancona,,,overpass
Tempocasa,IT,Real Estate,,,,,,,overpass
Puntocasa,IT,Real Estate,,,"Corso Carlo Alberto di Savoia, 37, 60127, Ancona",Ancona,,,overpass
Domus Immobiliare,IT,Real Estate,,,"Via Dino Angelini, 62d, 63100, Ascoli Piceno",Ascoli Piceno,,,overpass
Tecnocasa,IT,Real Estate,https://como2.tecnocasa.it/como/monte-olimpino,+39 031 540983,"Via Bellinzona, 182, 22100, Como",Como,https://www.linkedin.com/company/tecnoca/,,overpass
Benaco Intermediazioni Srl,IT,Real Estate,,+39 0365 641819,"Via Statale Maderno, 28, 25088, Toscolano Maderno",Toscolano Maderno,,,overpass
Immobiliare Lago di Garda Srl,IT,Real Estate,http://www.immobiliarelagodigarda.it,+39 0365 541133,"Via Tasso, 7, 25088, Toscolano Maderno",Toscolano Maderno,,,overpass
