name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Glogistyk,PL,Logistics & Transport,https://glogistyk.pl,+48 519 349 640,"Jagiellońska, 3, 03-721, Warszawa",Warszawa,,,overpass
Geodis,PL,Logistics & Transport,https://geodis.com/pl,,,,,,overpass
Jurex,PL,Logistics & Transport,,+48 34 314 12 63,"Wojsławicka, 29, Koziegłowy",Koziegłowy,,,overpass
H.R. Trans Wójcik Transport Międzynarodowy,PL,Logistics & Transport,,,,,,,overpass
UNIONTRANS,PL,Logistics & Transport,http://www.uniontrans.pl,+48 22 870 48 85,,,,,overpass
Transplanner,PL,Logistics & Transport,https://transplanner.pl,+48 58 3556019,"Pszenna, 112A, 80-297, Banino",Banino,,,overpass
Agencja Celna Certus,PL,Logistics & Transport,http://certus-gdynia.com.pl,,,,,,overpass
Moto-Profil,PL,Logistics & Transport,https://moto-profil.pl,,,,,,overpass
DSO transport&logistyka,PL,Logistics & Transport,,,,,,,overpass
Piotr Balcerek Transport Ciężarowy,PL,Logistics & Transport,http://www.piotrbalcerek.pl,+48604 110 567,"Wroniecka, 19, 62-045, Pniewy",Pniewy,,,overpass
Complex SAD,PL,Logistics & Transport,,,,,,,overpass
Jager,PL,Logistics & Transport,https://jager.waw.pl,+48 24 267 25 70,,,,,overpass
MW e-commerche Fulfillment,PL,Logistics & Transport,,,"Logistyczna, 1, 69-100, Świecko",Świecko,,,overpass
Magtrans,PL,Logistics & Transport,,,,,https://www.linkedin.com/company/magtrans/,,overpass
Bestseller Commerce Poland Sp. z o.o.,PL,Logistics & Transport,,,,,,,overpass
Nordsanit,PL,Logistics & Transport,,,,,,,overpass
CB Trade,PL,Logistics & Transport,,,,,,,overpass
Oddział DPD Polska,PL,Logistics & Transport,https://www.dpd.com.pl,,"Rolna, 8, 25-419, Kielce",Kielce,,,overpass
Golan logistics,PL,Logistics & Transport,,+48612916544,"Władysława Łokietka, 5, 64-500, Szamotuły",Szamotuły,,,overpass
Hoekman logistics,PL,Logistics & Transport,,+48616524941,,,,,overpass
