name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Movares,NL,Construction,https://movares.com/contact/zwolle,+31 38 423 9295,"Paxtonstraat, 3M, 8013RP, Zwolle",Zwolle,https://www.linkedin.com/company/movares/,,overpass
Nobleo Bouw & Infra,NL,Construction,https://www.nobleo-infra.nl,+31 85 0768877,"Schrevenweg, 3, 8024HB, Zwolle",Zwolle,,,overpass
Getinge,NL,Construction,https://www.getinge.com,,"Heertjeslaan, 2, 2629JG, Delft",Delft,,,overpass
TNO Delft - Stieltjesweg,NL,Construction,,,"Stieltjesweg, 1, 2628CK, Delft",Delft,,,overpass
ABT,NL,Construction,https://abt.eu,+31 15 2703611,"Delftechpark, 12, 2628XH, Delft",Delft,,,overpass
TNO Delft - Pieter Calandweg,NL,Construction,,,"Pieter Calandweg, 15, 2628CP, Delft",Delft,,,overpass
TNO Delft - Leeghwaterstraat,NL,Construction,,,"Leeghwaterstraat, 46, 2628CA, Delft",Delft,,,overpass
RoboHouse,NL,Construction,https://www.robovalley.com/robohouse,,"Julianalaan, 67, 2628BC, Delft",Delft,,,overpass
RoboValley,NL,Construction,https://www.robovalley.com,,"Julianalaan, 67A, 2628BC, Delft",Delft,https://www.linkedin.com/company/robovalley/,,overpass
Allseas,NL,Construction,,,"Poortweg, 12, 2612PA, Delft",Delft,,,overpass
Peutz,NL,Construction,https://peutz.nl,+31 85 8228 700,"Paletsingel, 2, 2718NT, Zoetermeer",Zoetermeer,,,overpass
Klussenbedrijf Brandt,NL,Construction,,,"Cobaltstraat, 27, 2718RN, Zoetermeer",Zoetermeer,,,overpass
Yami,NL,Construction,https://yami-bv.nl,,"Oder, 1, 2491DD, 's-Gravenhage",'s-Gravenhage,,,overpass
Witteveen+Bos,NL,Construction,https://www.witteveenbos.com,+31 10 244 2800,"Blaak, 16, 3011TA, Rotterdam",Rotterdam,https://www.linkedin.com/company/witteveen-bos/,,overpass
Companjen,NL,Construction,https://www.companjenconstructies.nl,,"Rondweg, 17, 8091XA, Wezep",Wezep,,,overpass
Breman,NL,Construction,https://www.breman.nl,,"Veerweg, 5, 8061RA, Hasselt",Hasselt,,,overpass
Kappert Bouw,NL,Construction,https://www.kappertbouw.nl,+31 575 523 735,"Lage Weide, 23, 7231NN, Warnsveld",Warnsveld,,,overpass
Dijkman Bouw,NL,Construction,https://www.dijkmanbouw.nl,+31 575 522 577,"Lage Weide, 29, 7231NN, Warnsveld",Warnsveld,,,overpass
Norel,NL,Construction,https://www.norelhallenbouw.nl,+31 55 542 4499,"Laan van Westenenk, 56, 7336AZ, Apeldoorn",Apeldoorn,,,overpass
Romédes Engineering,NL,Construction,,,"Zilverlinde, 22, 7131MN, Lichtenvoorde",Lichtenvoorde,,,overpass
Bilfinger Tebodin,NL,Construction,https://www.tebodin.bilfinger.com,+31 88 996 70 00,"Laan van Nieuw-Oost-Indië, 25, 2593BJ, 's-Gravenhage",'s-Gravenhage,,,overpass
Haskoning,NL,Construction,https://www.haskoning.nl/nl-nl/kantoren/amersfoort,+31 88 348 20 00,"Laan 1914, 35, 3818EX, Amersfoort",Amersfoort,https://www.linkedin.com/company/haskoning/,,overpass
Bouwbedrijf van de Vuurst,NL,Construction,https://www.bouwbedrijfvandevuurst.nl,,"de Kronkels, 4c, 3752LM, Bunschoten-Spakenburg",Bunschoten-Spakenburg,,,overpass
Heijmans Wegenbouw,NL,Construction,,,"Looyenbeemd, 14, 5652BH, Eindhoven",Eindhoven,https://www.linkedin.com/company/heijmans-wegenbouw/,,overpass
VDL Lasindustrie,NL,Construction,,,"Wekkerstraat, 1, 5652AN, Eindhoven",Eindhoven,,,overpass
