name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Święty 71,PL,Real Estate,,,,,,,overpass
Bonus,PL,Real Estate,,,,,,,overpass
Lex house,PL,Real Estate,,,,,,,overpass
Home Broker,PL,Real Estate,,,,,,,overpass
Dolnośląskie Centrum Nieruchomości,PL,Real Estate,,,,,,,overpass
Nieruchomości Gracjan,PL,Real Estate,,,,,,,overpass
Józef Kufel Nieruchomości,PL,Real Estate,https://www.jkn.com.pl/biuro-nieruchomosci-w-bielsku-bialej,+48 500 014 236,"Cyniarska, 22a, 43-300, Bielsko-Biała",Bielsko-Biała,,,overpass
Baltic Cliff Apartments,PL,Real Estate,,,,,,,overpass
Nieruchomości,PL,Real Estate,,,,,,,overpass
Wynajem pokoi,PL,Real Estate,,,,,,,overpass
Matexi,PL,Real Estate,,,,,,,overpass
Pośrednictwo i Wyceny Nieruchomości DOMUS s.c.,PL,Real Estate,https://www.domussc.pl,+48 33 843 22 57,"Rynek Główny, 12",,,,overpass
Nieruchomości Lokum,PL,Real Estate,,,,,,,overpass
Prestige,PL,Real Estate,http://www.bsm.bytom.pl,+48 32 281 12 91,"Stefana Batorego, 1A, 41-902, Bytom",Bytom,,,overpass
Nieruchomości Expert,PL,Real Estate,https://nieruchomosciexpert.pl,+48 91 4435802,"Kardynała Stefana Wyszyńskiego, 19b, 73-110, Stargard",Stargard,,,overpass
Best,PL,Real Estate,,,,,,,overpass
eDOM Biuro Nieruchomości,PL,Real Estate,https://www.edom-nieruchomosci.pl,+48 95 735 15 07,"Kosynierów Gdyńskich, 109, 66-400, Gorzów Wielkopolski",Gorzów Wielkopolski,,,overpass
Osiedle pod Dębem,PL,Real Estate,,,"Botaniczna, 20, 42-216, Częstochowa",Częstochowa,,,overpass
Handbud,PL,Real Estate,https://handbud.pl,,"Czworobok, 17, 22-200, Włodawa",Włodawa,,,overpass
AS nieruchomości,PL,Real Estate,,,,,,,overpass
Property Management,PL,Real Estate,,,"10 Lutego, 16, Gdynia",Gdynia,,,overpass
Meritum House,PL,Real Estate,,,"Pilotów, 17",,,,overpass
BZM Nieruchomości,PL,Real Estate,,,,,,,overpass
ABM Invest,PL,Real Estate,http://abminvest.eu,,"Modlińska, 129, 03-186, Warszawa",Warszawa,,,overpass
West Real Estate S.A.,PL,Real Estate,http://westrealestate.pl,+48713742311,"Przedświt, 11, 54-618, Wrocław",Wrocław,,,overpass
Aleksandra Powierska,PL,Real Estate,,,,,,,overpass
golden home,PL,Real Estate,https://golden-home.pl,,,,https://www.linkedin.com/company/golden-home/,,overpass
ŁUCZNIK,PL,Real Estate,,,"Ignacego Paderewskiego, 23, 26-605, Radom",Radom,,,overpass
Przedsiębiorstwo Produkcyjno-Handlowe Orion,PL,Real Estate,,+48817450438; +48817481000,"Mełgiewska, 76, Lublin",Lublin,,,overpass
RAI Przedsiębiorstwo Budowlane,PL,Real Estate,,,"Koziorożca, 21, 80-299, Gdańsk",Gdańsk,,,overpass
Inpro,PL,Real Estate,https://www.inpro.com.pl,+48 58 340 03 81,"Opata Jacka Rybińskiego, 8, 80-320, Gdańsk",Gdańsk,,,overpass
madej,PL,Real Estate,,+48 515 286 537,"Podgórska, 16, 34-100, Wadowice",Wadowice,,,overpass
4 Kąty,PL,Real Estate,https://www.4katy-inowroclaw.pl,+48570188841,"Studzienna, 12, 88-100, Inowrocław",Inowrocław,,,overpass
Wiki-Art Architektura Reklama Nieruchomości,PL,Real Estate,http://www.wiki-art.pl,+48 794 613 053,"Piotra Woźniaka, 76, 41-902, Bytom",Bytom,,,overpass
Muraszko nieruchomości,PL,Real Estate,,,,,,,overpass
Imobiliare Polonia,PL,Real Estate,,,,,,,overpass
Invest-Bud,PL,Real Estate,,,,,,,overpass
Marka Nieruchomości,PL,Real Estate,,,,,,,overpass
Centrum Nieruchomości Lege Artis,PL,Real Estate,http://www.nieruchomosci-legeartis.pl,+48517778885,"Poznańska, 58, 63-300, Pleszew",Pleszew,,,overpass
