name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Concept Intermedia,PL,IT & Software,https://conceptintermedia.pl,+48601680999,"Wodociągowa, 87-100, Toruń",Toruń,https://www.linkedin.com/company/concept-intermedia/,,overpass
Clockwork Bits Software,PL,IT & Software,http://web.archive.org/web/20110316214620/http://clockwork-bits.pl,,"Osobliwa, 6",,,,overpass
UNISOFT,PL,IT & Software,https://www.unisoft.com.pl,,"Zielonogórska, 12",,,,overpass
7RS WEB STUDIO,PL,IT & Software,https://7rswebstudio.pl,+48 88 569 12 17,"Mikołaja Kopernika, 2B, 46-100, Namysłów",Namysłów,,,overpass
Soft Różycki Piotr,PL,IT & Software,,,"Ludwika Zamenhofa, 12, 22-400, Zamość",Zamość,,,overpass
TEXcomp,PL,IT & Software,,,,,,,overpass
Timaco,PL,IT & Software,https://www.timaco.pl,+48 32 307 40 06,"Stanisława Witczaka, 139, 41-902, Bytom",Bytom,,,overpass
Comarch,PL,IT & Software,,,"Puławska, 525, 02-844, Warszawa",Warszawa,,,overpass
ZXStudio!,PL,IT & Software,https://zxstudio.pl,,"Siennicka, 7A, 04-005, Warszawa",Warszawa,,,overpass
QNT,PL,IT & Software,,,"Knurowska, 19, 41-800, Zabrze",Zabrze,,,overpass
IT Solutions,PL,IT & Software,,,,,,,overpass
Polska Netgaleria,PL,IT & Software,https://netgaleria.pl,+48602875111,"Łąkowa, 3, 42-216, Częstochowa",Częstochowa,,,overpass
Insert (drukarki - komputery ),PL,IT & Software,,,"Adama Mickiewicza, 9B, 19-300, Ełk",Ełk,,,overpass
Impuls,PL,IT & Software,,+4832 4172752,"Wileńska, 21, 47-400, Racibórz",Racibórz,https://www.linkedin.com/company/impuls/,,overpass
Proxeo,PL,IT & Software,http://www.proxeo.pl,+4832 417 32 86,,,,,overpass
AVSystem,PL,IT & Software,https://www.avsystem.com,,"Walerego Eliasza Radzikowskiego, 47d, 31-315, Kraków",Kraków,,,overpass
Climax,PL,IT & Software,,,"Bartosza Głowackiego, 49D, 32-800, Brzesko",Brzesko,https://www.linkedin.com/company/climax/,,overpass
Ram-serwis Odzyskiwanie danych,PL,IT & Software,https://www.ram-serwis.pl,+48 612225445;+48608160108,"13B/4, 61-655, Poznań",Poznań,,,overpass
VML Enterprise Solutions,PL,IT & Software,https://www.vml.com/poland#pozna%C5%84,+48 726 997 720,"Wierzbięcice, 1A, 61-569, Poznań",Poznań,,,overpass
Grupa TENSE,PL,IT & Software,,,"Wolsztyńska, 5, 60-361, Poznań",Poznań,,,overpass
Centrum Oprogramowania Profisoft,PL,IT & Software,,,"Floksowa, 44, Poznań",Poznań,,,overpass
Firma Dominnet,PL,IT & Software,https://dominnet.pl,,"660, 37-307",,,,overpass
StudioWIDERA.NET,PL,IT & Software,http://www.studiowidera.net,,"Koronacyjna, 7, 42-300, Myszków",Myszków,,,overpass
JCommerce SA,PL,IT & Software,http://www.jcommerce.pl,,"Tadeusza Kościuszki, 227, Katowice",Katowice,,,overpass
Senetic Sp. z o.o. S.K.A.,PL,IT & Software,https://www.senetic.pl,,"Tadeusza Kościuszki, 227, Katowice",Katowice,,,overpass
CERI International Sp. z o.o.,PL,IT & Software,,,,,,,overpass
