name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
Vlieg,NL,Real Estate,https://www.vlieg.nl/vestiging/makelaar-lelystad,,"Agoraweg, 2, 8224BX, Lelystad",Lelystad,https://www.linkedin.com/company/vlieg/,,overpass
Dupree Makelaar,NL,Real Estate,,,"Vredebest, 1, 2801AS, Gouda",Gouda,,,overpass
Makelaardij van den Berg,NL,Real Estate,https://www.makelaardijvdberg.nl,+31 186 649 090,"Vierwiekenplein, 1, 3262AN, Oud-Beijerland",Oud-Beijerland,,,overpass
Peter Deen,NL,Real Estate,,,"Julianastraat, 70, 7701GN, Dedemsvaart",Dedemsvaart,,,overpass
Michiel van Maanen,NL,Real Estate,https://mvmmakelaardij.nl,,"Meerweg, 1, 2121VA, Bennebroek",Bennebroek,,,overpass
Mooijekind Vleut Makelaars Haarlem,NL,Real Estate,,,"Kleine Houtstraat, 57, Haarlem",Haarlem,,,overpass
Oosting,NL,Real Estate,,,"Kruisstraat, 5, 9411PD, Beilen",Beilen,,,overpass
Hup en Fidom,NL,Real Estate,,,"Brinkstraat, 45, 9411KL, Beilen",Beilen,,,overpass
Van't Hof Rijnland,NL,Real Estate,https://www.hof-rijnland.nl,+31 88 126 6650,"Zonnelaan, 10, 9742BL, Groningen",Groningen,,,overpass
Gerro de Boer Makelaardij & Taxaties B.V.,NL,Real Estate,https://www.gerrodeboer.nl,,"Jan Nieuwenhuizenplein, 3, 1135WT, Edam",Edam,,,overpass
Makelaardij Sneek,NL,Real Estate,https://www.makelaardijsneek.nl,,"Oud Kerkhof, 4, 8601EE, Sneek",Sneek,,,overpass
Van Pas Makelaars,NL,Real Estate,,+31 30 698 1868,"Jagerlaan, 1B, 3701XG, Zeist",Zeist,,,overpass
Appel & Fris Makelaars,NL,Real Estate,https://www.appelenfrismakelaars.nl,+31 23 542 1012,"Kinderhuissingel, 126, 2013AW, Haarlem",Haarlem,,,overpass
Van Regteren,NL,Real Estate,https://www.vanregteren.nl,,"Wagenweg, 108, 2012NJ, Haarlem",Haarlem,,,overpass
LAM Makelaars,NL,Real Estate,,,"De Ruijterweg, 9, Haarlem",Haarlem,,,overpass
Noordstad Groep,NL,Real Estate,,,"Julianaplein, 122, 1781HE, Den Helder",Den Helder,,,overpass
Post Makelaardij,NL,Real Estate,https://www.postmakelaardij.nl,,"Spoorsingel, 1A, 2613BD, Delft",Delft,,,overpass
Van Scherpenzeel,NL,Real Estate,https://vanscherpenzeel.nl,,"Safariweg, 68, 3605MA, Maarssen",Maarssen,,,overpass
Randmeer Makelaars,NL,Real Estate,,,"Stationsstraat, 123, 3851ND, Ermelo",Ermelo,,,overpass
Makelaar Van Ek Garantiemakelaars BV,NL,Real Estate,https://vanekgarantiemakelaars.nl,+31 26 442 5436,"Willemsplein, 29, 6811KC, Arnhem",Arnhem,,,overpass
Makelaardij aefect,NL,Real Estate,,,,,,,overpass
Zuurbier Makelaardij,NL,Real Estate,,,"Molenvaart, 254, 1764AX, Breezand",Breezand,,,overpass
De Hypotheekshop,NL,Real Estate,,,"Naarderstraat, 12, 1271CE, Huizen",Huizen,,,overpass
Reinerie,NL,Real Estate,https://reineriehouten.nl,,"Onderdoor, 11, 3995DW, Houten",Houten,,,overpass
At Home in Utrecht,NL,Real Estate,https://athomeinutrecht.com/nl,+31 6 23 62 70 23,"Twijnstraat, 44, 3511ZL, Utrecht",Utrecht,,,overpass
van Leeuwen Makelaardij,NL,Real Estate,,,"Kerklaan, 38b, 2912CK, Nieuwerkerk aan den IJssel",Nieuwerkerk aan den IJssel,,,overpass
John Driessens Makelaardij,NL,Real Estate,,,"Markt, 16b, 6191JH, Beek",Beek,,,overpass
Succesmakkelaars,NL,Real Estate,https://succesmakelaars.nl,+31 33 4947707,"Hamersveldseweg, 72, 3833GS, Leusden",Leusden,,,overpass
Noordam,NL,Real Estate,,,"Hoofdstraat, 54, 2678CL, De Lier",De Lier,,,overpass
Melior,NL,Real Estate,,,"Hoofdstraat, 87, 2678CG, De Lier",De Lier,https://www.linkedin.com/company/melior/,,overpass
Fris Wonen,NL,Real Estate,https://www.friswonen.nl,,"Buitenveldertselaan, 42, 1081AA, Amsterdam",Amsterdam,,,overpass
Tel Krop Makelaars,NL,Real Estate,https://www.telkropmakelaars.nl,,"Buitenveldertselaan, 101, 1082VB, Amsterdam",Amsterdam,,,overpass
Bronsvoord,NL,Real Estate,,,"Keizerstraat, 37, 7411HE, Deventer",Deventer,,,overpass
A7 makelaars,NL,Real Estate,https://www.a7.nl,,"Midstraat, 105, 8501AJ, Joure",Joure,,,overpass
Makelaardij Hoekstra,NL,Real Estate,https://www.makelaardijhoekstra.nl,,"Douwe Egbertsplein, 1, 8501AB, Joure",Joure,,,overpass
Peelrand Makelaardij,NL,Real Estate,https://peelrand.com,,"Paterslaan, 2, 5801AS, Venray",Venray,,,overpass
JIP makelaars,NL,Real Estate,,,"De Weide, 2, 7908AB, Hoogeveen",Hoogeveen,https://www.linkedin.com/company/jip-makelaars/,,overpass
Heren van Snoek,NL,Real Estate,,,,,,,overpass
Hettema Adema,NL,Real Estate,https://www.hettema-adema.nl,,"Herenwal, 40, 8441BA, Heerenveen",Heerenveen,,,overpass
Jonkers Vastgoed,NL,Real Estate,https://www.jonkersvastgoed.com,,"Mariastraat, 36, 3511LP, Utrecht",Utrecht,,,overpass
Admono Makelaars,NL,Real Estate,https://www.admono.nl,,"Van Karnebeekstraat, 1, 8011JA, Zwolle",Zwolle,,,overpass
Maxx Vastgoed,NL,Real Estate,https://maxxhuren.nl,,"Assendorperstraat, 141, 8012DK, Zwolle",Zwolle,,,overpass
Uw VBO Makelaar,NL,Real Estate,https://www.uwvbomakelaar.nl,,"Assendorperstraat, 205, 8012DM, Zwolle",Zwolle,,,overpass
