name,country,industry,website,phone,address,city,linkedin_url,google_maps_url,source
GLS,IT,Logistics & Transport,,,"Via Malcontenta, 22",,,,overpass
Delivery By Express Dbe,IT,Logistics & Transport,,,,,,,overpass
Siemens Logistics,IT,Logistics & Transport,,,,,,,overpass
Mail Boxes Etc,IT,Logistics & Transport,,,,,,,overpass
Bartolini spedizioni,IT,Logistics & Transport,,+39 0731 215212,Via Giuseppe Di Vittorio,,,,overpass
Ippogrifo,IT,Logistics & Transport,http://ippogrifoviaggi.ippogrifoviaggi.it,+39 030 381337,"Via Marcantonio Ducco, 34, 25123, Brescia",Brescia,,,overpass
ligabue,IT,Logistics & Transport,,,"Via Salvatore Orlando, 30, 57123, Livorno",Livorno,,,overpass
Corriere Blitz,IT,Logistics & Transport,,,,,,,overpass
Eurotras Traslochi,IT,Logistics & Transport,,+39 095 856797,,,,,overpass
Destri Srl,IT,Logistics & Transport,https://www.destrisrl.com/it,+39 045 6639952,"Strada della Genovesa, 33, 37135, Verona",Verona,,,overpass
Coop Saragozza Trasporti,IT,Logistics & Transport,,,,,,,overpass
Benfante,IT,Logistics & Transport,,,"Via Antonio Gramsci, 2, 16010, Manesseno",Manesseno,,,overpass
Fercam,IT,Logistics & Transport,,,"Via Mantova, 92a",,,,overpass
Logistic Distribution Services,IT,Logistics & Transport,,,,,,,overpass
Lazzarini S.p.a. Trasporti Internazionali,IT,Logistics & Transport,,,,,,,overpass
TNT,IT,Logistics & Transport,,,,,,,overpass
Sacmi-Cassioli Intralogistics,IT,Logistics & Transport,,,"Via Giacomo Brodolini, 10a",,,,overpass
Tabaccheria Snoopy,IT,Logistics & Transport,,,"Via Enrico Mattei, 129, 25062, Concesio",Concesio,,,overpass
The River Bar,IT,Logistics & Transport,,,,,,,overpass
BRT,IT,Logistics & Transport,,,,,,,overpass
E.xi.T.,IT,Logistics & Transport,,,,,,,overpass
SDA,IT,Logistics & Transport,,,,,,,overpass
Virsa Tunes,IT,Logistics & Transport,https://www.virsatunes.com/virsa-tunes-brescia,+39 030 8375022,"Via Trento, 49a, 25128, Brescia",Brescia,,,overpass
DHL,IT,Logistics & Transport,,,,,,,overpass
General Logistics Systems Italy SpA,IT,Logistics & Transport,https://www.gls-italy.com,+39 049 87 92 240,"Via Canada, 4, 35127, Padova",Padova,,,overpass
Mail Boxes Etc.,IT,Logistics & Transport,,,,,,,overpass
Freschi e Schiavoni Srl,IT,Logistics & Transport,,,,,,,overpass
Trasporti Manfrin G. s.n.c.,IT,Logistics & Transport,,,"1512, 30123, Venezia",Venezia,,,overpass
C.T.V. 2000,IT,Logistics & Transport,https://www.ctv2000arl.it,+39 06 65039092,"Via della Corona Boreale, 240, 00054, Fiumicino",Fiumicino,,,overpass
Matteo Adragna Trasporti,IT,Logistics & Transport,https://matteoadragnatrasporti.it,+39 0918660816,"Via Galileo Galilei, 14/16",,,,overpass
